id,name,popularity,followers,genres,user
42lt7Lr6m3qVIesp9pP4oH,Jaymay,29,26657,"anti-folk, indie",I
436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns,67,441790,classical,I
45gHcnDnMC15sgx3VL7ROG,42 Dugg,70,1609971,"detroit hip hop, trap",M
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,81,12584931,"rap, southern hip hop, trap",M
485uL27bPomh29R4JmQehQ,Bob Seger,69,2904844,classic rock,C
4BFLElxtBEdsdwGA1kHTsx,ElGrandeToto,70,4483357,"arabic hip hop, moroccan pop, moroccan rap",M
4DFhHyjvGYa9wxdHUjtDkc,A Perfect Circle,64,2087185,alternative metal,C
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,79,5679919,"rap, trap",M
4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,65,1453730,"folk, indie, indie folk",C
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,80,10275630,"melodic rap, rap",M
4Gso3d4CscCijv0lmajZWs,Don Toliver,86,7630205,"melodic rap, rap, trap",M
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,77,3957626,"experimental pop, indie folk",C
4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,72,2379221,"baroque pop, indie",I
4MdQ9btIlh6rzIMA19tu3L,Joanne Robertson,48,41805,art pop,C
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,84,19379652,melodic rap,M
4OrizGCKhOrW6iDDJHN9xd,DIIV,48,413862,"dream pop, shoegaze",C
4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,55,1439605,"southern hip hop, trap",M
4URLjSfWtdArslMrlA5suJ,muna,32,4784,"alt pop, indie pop",M
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,81,12532269,indie,I
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",88,24805879,rap,I
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,87,14172116,"alt, alternative rock, art rock","I, C"
4Zjxd2hv7Hb8zJMIy8A1TM,German Error Message,41,43220,"ambient folk, lo-fi indie, slowcore",C
4g2EfgpanE2Z9LG1nQ9zNy,Varg²™,41,53675,"experimental, hyperpop",I
4g6EnIPhmYBTZ7vsmxDkxH,Downstait,47,54807,"alternative metal, hard rock",M
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,90,61329594,"alternative rock, pop rock","M, C"
4jSYHcSo85heWskYvAULio,Mojave 3,48,185382,"dream pop, shoegaze, slowcore",C
4kSGbjWGxTchKpIxXPJv0B,Crumb,58,667420,"alt, bedroom pop, neo-psychedelic",I
4kZt5tLRG8CuE2xmhO9k2r,Felipe Da Don,10,9073,"latin hip hop, latin trap",M
4r63FhuTkUYltbVAg5TQnk,DaBaby,78,13019578,"rap, trap",M
4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,69,3113880,classic rock,C
4wyNyxs74Ux8UIDopNjIai,King Krule,61,970891,"indie, jazz rock, post-punk jazz",C
