id,name,popularity,followers,genres,user,detected category
5DslL3PUa3BcRlCCEP64A4,The Hellp,55,94877,"electroclash, hyperpop, new rave",I,Electronic; Pop
5F1aAS1duwlzExnPs3l2Xe,Pooh Shiesty,69,2160631,"southern hip hop, trap",M,Hip Hop/Rap
5H0YoDsPDi9fObFmJtTjfN,Ariel Pink,49,337309,neo-psychedelic,C,Alternative/Indie
5H4yInM5zmHqpKIoMNAx4r,Central Cee,80,9864218,"drill, grime, uk drill, uk grime",M,Hip Hop/Rap
5INjqkS1o8h1imAzPqGZBb,Tame Impala,86,9716263,"indie, neo-psychedelic","M, I",Alternative/Indie
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,91,31306636,rap,"M, I, C",Hip Hop/Rap
5Kbx8AkkM7259YdQh4rTdX,A Beacon School,38,50151,dream pop,C,Pop
5NXHXK6hOCotCF8lvGM1I0,Porcupine Tree,54,770984,"art rock, progressive metal, progressive rock, space rock",C,Rock/Metal
5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest,61,909790,"indie rock, midwest, midwest emo",I,Alternative/Indie; Rock/Metal
5RMUeKq0dZxg9RHE1f0B9P,Tm88,39,98988,"hip hop, trap",M,Hip Hop/Rap
5SBOWUBQdfga0xprPVBxOr,Idil Biret,50,17047,"classical, classical piano",I,Classical
5ShFRZUGJZL1qMkIPtYV5M,Gorky's Zygotic Mynci,26,27183,"britpop, neo-psychedelic, pop",I,Alternative/Indie; Pop
5SyGEPymt1G2uto47tVWvZ,MadeinTYO,56,1033200,"hip hop, trap",M,Hip Hop/Rap
5U2FH1VnxiZYbLcUVWGrov,Lady Radiator,46,29212,post-hardcore,C,Rock/Metal
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,73,2742990,"big band, christmas, jazz, jazz blues, swing music, vocal, vocal jazz",I,Jazz; Other
5VadK1havLhK1OpKYsXv9y,D-Block Europe,75,1809764,"grime, uk drill",M,Hip Hop/Rap
5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,67,1407686,"dream pop, gothic rock, shoegaze",C,Pop; Rock/Metal
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,77,9687637,r&b,M,R&B
5c3GLXai8YOMid29ZEuR9y,Nick Drake,62,959143,"folk, singer-songwriter",I,Folk
5f7VJjfbwm532GiveGC0ZK,Lil Baby,86,21863653,"melodic rap, rap, trap",M,Hip Hop/Rap
5iUnvXddCpOrbWKm7QMr6o,Vegyn,57,159924,"experimental hip hop, idm",C,Electronic; Hip Hop/Rap
5iwmHxCi5pm28BEykL5Fyd,Surf Rock Is Dead,35,34192,"dream pop, shoegaze, surf rock",C,Pop; Rock/Metal
