id,name,popularity,followers,genres,user,detected category,record_label
3TdVTSmMfLh55VrJDUpIQ2,Tamaryn,46,68110,"dream pop, shoegaze",C,Pop; Rock/Metal,"DERO Arcade, Major Arcana, Tamaryn"
3WaJSfKnzc65VDgmj2zU8B,Interpol,64,1834203,"indie rock, post-punk",C,Alternative/Indie; Rock/Metal,"Matador, Third Man Records"
3YvQkjWJ5ykJVUNP7YbTy9,From Indian Lakes,39,85861,pop,C,Pop,"From Indian Lakes, Triple Crown Records, little shuteye"
3cGojc1Yu89IHXx8OeSnee,Thaiboy Digital,54,189615,"cloud rap, hyperpop",I,Electronic; Hip Hop/Rap; Pop,YEAR0001
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,87,38033428,"pop, r&b, soul",M,Pop; R&B,"Epic, Epic/Legacy, Epic/MJJ"
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,66,2363447,indie,I,Alternative/Indie,"Mercury Records/Republic Owned, Republic Records, Universal Records"
3hcs9uc56yIGFCSy9leWe7,Lil Durk,80,9645053,"chicago drill, drill",M,Hip Hop/Rap,"Alamo, Only The Family / Alamo Records, LLC / EMPIRE, Quality Control Music/Alamo Records/Motown Records"
3inCNiUr4R6XQ3W43s9Aqi,Pavement,59,745456,"alt, alternative rock, indie",I,Alternative/Indie; Rock/Metal,Matador
3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,64,2403466,"baroque pop, indie rock",C,Alternative/Indie; Rock/Metal,"Columbia, Masterworks, Sony Music CG"
3mIj9lX2MWuHmhNCA7LSCW,The 1975,77,8009459,indie,I,Alternative/Indie,"Dirty Hit, Interscope, Polydor Records, The 1975 Artist Deal P/S, The 1975 LP3 Artist Deal PS, UMC (Universal Music Catalogue)"
3nnQpaTvKb5jCQabZefACI,Jeff Buckley,74,2350970,indie,"I, C",Alternative/Indie,"Columbia/Legacy, Evolver Entertainment, Legacy Recordings"
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,81,6048148,rage rap,M,Hip Hop/Rap,"Field Trip Recordings/Capitol Records, Field Trip Recordings/Geffen Records, Lyfestyle Corporation/Field Trip Recordings/Capitol Records, TwizzyRich"
3rbtPd0NcvhO2AzMfzx90z,Fredo,63,957712,"drill, grime, uk drill, uk grime",M,Hip Hop/Rap,"PG Records, RCA/Since 93, Since 93"
3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,67,1345926,"cool jazz, jazz, vocal jazz",I,Jazz,"Circle Records Germany, Diggers Factory, Elemental Music Records SL, Red records, Right Tempo, Slow Down Sounds, LLC, Timeless Records, UME - Global Clearing House, Universal Music Division Decca Records France"
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,75,5178495,"rap, southern hip hop, trap",M,Hip Hop/Rap,"CMG/Interscope Records, CMG/N-Less/Interscope Records, N-Less Entertainment, LLC distributed by Interscope Records. With Epic Records and CMG Enterprises., NLess Entertainment, Services Account"
3tM7dj8ztmzKcugbIVMxy0,The Crying Nudes,43,31890,"alternative, indie",C,Alternative/Indie,WORLD MUSIC
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,81,7991267,r&b,M,R&B,"ISO Supremacy under exclusive license to UnitedMasters LLC, Lost Kids, Lost Kids LLC., Marketed by Venice / Stem"
3uwAm6vQy7kWPS2bciKWx9,girl in red,74,8852519,"bedroom pop, vocal",I,Other; Pop,"Columbia, world in red"
3x11XrMEnyP18hv73pmKRL,Chanel Beads,48,51783,lo-fi indie,C,Alternative/Indie,Jagjaguwar
3yY2gUcIsjMr8hjo51PoJ8,The Smiths,80,7838343,"jangle pop, madchester, new wave, rock",I,Pop; Rock/Metal,"Rhino, WM UK"
