name,id.x,popularity,followers,user,id.y,collaborators,genre,record_label
Enigma,3DmG65yHQsMms7WAvrZOdt,65,1108271,C,3DmG65yHQsMms7WAvrZOdt,,"gregorian chant, new age","Polydor, Virgin"
Faramarz Aslani,1xA7r3Y1UGCp3rQMkgFXz4,39,141452,M,1xA7r3Y1UGCp3rQMkgFXz4,,"iranian pop, persian pop","Bamahang Productions, Caltex Records, DBF Records, Parastoo Production, Pars Video"
Felipe Da Don,4kZt5tLRG8CuE2xmhO9k2r,10,9073,M,4kZt5tLRG8CuE2xmhO9k2r,"Gunna, Lil Baby","latin hip hop, latin trap",Unknown
FELIX!,1DN9Pgv4fiAaRSSgiisj5G,53,46679,M,1DN9Pgv4fiAaRSSgiisj5G,,"hip hop, rap",broke
Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,65,1453730,C,4EVpmkEwrLYEg6jIsiPMIb,,"folk, indie, indie folk","Anti/Epitaph, Nonesuch, Sub Pop Records"
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,85,14129737,"I, C",08GQAI4eElDnROBrJRGE0X,,"classic rock, rock, soft rock, yacht rock","Reprise, Rhino/Warner Records, Ryko/Rhino, Sony Music CG, Warner Records"
Flozigg,0pTI6gG0UHQjylvV6mPuHv,39,34209,M,0pTI6gG0UHQjylvV6mPuHv,,"drill, uk drill",Unknown
Fog Lake,04GCjO1r1hPelibCUq9S8H,50,154390,C,04GCjO1r1hPelibCUq9S8H,,"lo-fi indie, slowcore",Fog Lake
Fontaines D.C.,3SXwqSqAoBz9WCI9PDQzY6,72,1169316,C,3SXwqSqAoBz9WCI9PDQzY6,,post-punk,"Partisan Records, XL Recordings"
Foxes In Fiction,3GSt4ZSP1wEtdbcTTbwjpW,32,30077,C,3GSt4ZSP1wEtdbcTTbwjpW,,"dream pop, shoegaze",Orchid Tapes
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,85,20536143,I,2h93pZq0e7k5yf4dywlkpM,"Earl Sweatshirt, Tyler, The Creator",alt,"Boys Don't Cry, Red Zone Entertainment / IDJ"
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,83,8467991,I,1Mxqyy3pSjf8kZZL4QVxS0,,"adult standards, big band, christmas, jazz, swing music, vocal, vocal jazz","CAPITOL CATALOG MKT (C92), Diggers Factory, FRANK SINATRA DIGITAL REPRISE, Good Music, Mouton Recordings, WTM CLASSIC"
Franz Gordon,6c9mrV72IOeJ5imCUK281g,56,43070,I,6c9mrV72IOeJ5imCUK281g,,indie,Unknown
Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,70,1491998,C,0Y4inQK6OespitzD6ijMwb,"Earl Sweatshirt, Gucci Mane, Masego, Moneybagg Yo, Offset, The Alchemist, Tory Lanez, Tyler, The Creator","alternative hip hop, jazz rap","ESGN / ALC / EMPIRE, ESGN / EMPIRE, ESGN / Jet Life Recordings / ALC / EMPIRE, Freddie Gibbs, Freddie Gibbs and Alchemist, Madlib Invazion, Madlib Invazion/ESGN/Keep Cool/RCA Records, Warner Records"
